"","...1","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","fibertype","regulated"
"11","GO:0045109","GO:0045109","intermediate filament organization",18,-0.78437279921509,-2.19800381761508,1.78505817906988e-05,0.00153560762098533,0.00141960361661225,74,"tags=50%, list=3%, signal=49%","DSP/KRT10/KRT2/KRT5/KRT1/KRT71/KRT9/KRT16/KRT14","mhc1","female"
"12","GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",67,0.54215876012228,1.97840174851405,2.16264320828718e-05,0.0017222504095087,0.00159214689783949,985,"tags=61%, list=34%, signal=41%","UQCC3/SDHC/NDUFC1/COX11/NDUFB1/ATP5ME/SDHB/ATP5PO/SDHA/NDUFA2/ATP6V1A/ATP5MK/ATP5PF/NME1/NDUFB10/NDUFA7/ATP5MG/ATP5MJ/NUDT2/ATP5F1A/NDUFS6/ATP5F1B/NDUFB4/NDUFV2/NDUFA8/NME2/NDUFB9/NDUFS3/NDUFA6/ATP5F1C/ATP5MF/NDUFS4/NDUFS1/NDUFV1/NDUFB8/ATP5PD/ATP5F1D/ADK/ATP5PB/NDUFA5/NDUFA12","mhc1","male"
"13","GO:0010466","GO:0010466","negative regulation of peptidase activity",41,-0.635941656191166,-2.14288838033335,2.23112357192997e-05,0.00172452727853881,0.00159425176594872,531,"tags=46%, list=18%, signal=38%","GPX1/AHSG/CST3/VTN/SERPINB9/PAK2/DDX3X/SERPINA3/PICALM/SERPIND1/SNCA/ECM1/KNG1/SERPINA1/SERPINA7/SERPINB3/SERPINA6/CSTA/LTF","mhc1","female"
"14","GO:0040011","GO:0040011","locomotion",209,-0.386187842314323,-1.71765705852665,4.85348129610239e-05,0.00265728100961606,0.00245654272618516,334,"tags=25%, list=12%, signal=24%","ACTG1/MAP2K3/SCN1B/RRAS2/TNXB/VTN/APOH/STX4/SLK/BST2/PRKCQ/LAMA5/SWAP70/NCK1/LAMB1/MMRN2/LAMA2/CD99L2/ADIPOQ/CTSH/SERPIND1/PLG/SRGAP3/EMC10/S100A11/SNCA/APOA1/ECM1/GLUL/PPP3CA/CRK/TF/AGT/JUP/CTSG/CTNNA1/PAK1/AKT2/ROCK1/KRT5/SERPINB3/APOD/DEFA1B/ENG/KRT16/S100A9/S100A8/SRCIN1/PECAM1/S100A7/SRP54/COL3A1/SAA1","mhc1","female"
"15","GO:0141060","GO:0141060","disruption of anatomical structure in another organism",21,-0.731930334910609,-2.11654465289296,6.14456486872911e-05,0.00319459530836705,0.0029532668315754,102,"tags=33%, list=4%, signal=32%","CTSG/DEFA1B/ARG1/CFHR1/DCD/LYZ/LTF","mhc1","female"
"16","GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",306,-0.344169392125143,-1.59465865196269,6.19955710527852e-05,0.00319459530836705,0.0029532668315754,444,"tags=23%, list=15%, signal=22%","FAU/STAT5B/STX4/FGA/SCARB2/BST2/CFH/C9/NONO/NEK7/FLOT1/F2/SERPINB9/MAOB/NCK1/DYNLT1/MPO/MMRN2/PAK2/DDX3X/RAB1A/ADIPOQ/BNIP3/TRDN/JPT2/CLU/JAGN1/TTLL12/PLG/CASP7/OTUD4/A2M/FABP4/SNCA/IGKV3-20/SIGLEC1/AP1G1/HLA-C/IGHA1/IGHG3/CRK/TF/IGHG2/TFRC/LSM14A/HPX/SRPK2/CTSG/MAPKAPK3/PAK1/CHID1/CFB/NEDD4/LRG1/JCHAIN/SERPINB3/KRT1/ATG7/DEFA1B/RAB9A/ARG1/KRT16/S100A9/CFHR1/S100A8/IGHM/S100A7/DCD/LYZ/LTF","mhc1","female"
"17","GO:0141061","GO:0141061","disruption of cell in another organism",18,-0.759489096535339,-2.12827361592881,7.46173438654768e-05,0.00353221934561109,0.0032653858245896,102,"tags=39%, list=4%, signal=38%","CTSG/DEFA1B/ARG1/CFHR1/DCD/LYZ/LTF","mhc1","female"
"18","GO:1902600","GO:1902600","proton transmembrane transport",51,0.546274584109518,1.90189193224972,0.00021116728326699,0.00676765390763005,0.00625640680077311,532,"tags=47%, list=19%, signal=39%","COX7A2L/ATP6V1E1/ATP5ME/NDUFA4/ATP5PO/CYC1/COX5B/COX5A/ATP6V0D1/UQCR10/UQCRH/ATP6V1A/ATP1A2/ATP1B1/UQCRC1/COX6B1/ATP5PF/ATP1A1/ATP5MG/ATP5F1A/LETM1/PPIF/COX4I1/ATP5F1B","mhc1","male"
"19","GO:0051346","GO:0051346","negative regulation of hydrolase activity",65,-0.50314502558525,-1.86503404102959,0.00041239824156937,0.0111991051718987,0.0103530941026765,552,"tags=40%, list=19%, signal=33%","RASA4/APOC1/GPX1/NOS1/AHSG/APOA2/CST3/VTN/DFFA/SERPINB9/PAK2/DDX3X/SERPINA3/PICALM/SERPIND1/SNCA/ECM1/KNG1/SERPINA1/SERPINA7/ROCK1/SERPINB3/SERPINA6/APOC3/CSTA/LTF","mhc1","female"
"20","GO:0018149","GO:0018149","peptide cross-linking",12,-0.800803505898556,-2.0025578249518,0.00064941726201423,0.0164203894649066,0.0151799482836676,271,"tags=67%, list=9%, signal=61%","EPB42/DSP/KRT10/KRT2/KRT1/CSTA/FLG/COL3A1","mhc1","female"
"21","GO:0003009","GO:0003009","skeletal muscle contraction",25,-0.653958217795855,-1.99419419740696,0.00066231403473367,0.0164203894649066,0.0151799482836676,208,"tags=24%, list=7%, signal=22%","ATP2A1/MYH3/RCSD1/TNNT3/TNNC2/TNNI2","mhc1","female"
"22","GO:0046034","GO:0046034","ATP metabolic process",81,0.470755768720437,1.76914979728342,0.00072373402691014,0.017528799859812,0.0162046263223769,813,"tags=47%, list=28%, signal=35%","UQCC3/SDHC/NDUFC1/COX11/NDUFB1/ATP5ME/SDHB/ATP5PO/NMNAT1/SDHA/NDUFA2/ATP6V1A/ATP1A2/ATP1B1/ATP5MK/ATP5PF/AK2/NDUFB10/NDUFA7/ATP5MG/ATP5MJ/NUDT2/ATP5F1A/NDUFS6/ATP5F1B/DNM1L/NDUFB4/NDUFV2/NDUFA8/NDUFB9/NDUFS3/NDUFA6/ATP5F1C/ATP5MF/NDUFS4/NDUFS1/NDUFV1/NDUFB8","mhc1","male"
"23","GO:0003008","GO:0003008","system process",308,-0.308949337216748,-1.43142050302296,0.00093492660413516,0.0219373849613145,0.0202801748340599,532,"tags=25%, list=19%, signal=23%","ATP2A2/GPX1/TMEM38A/NOS1/TGFBI/GCLC/APOA2/MAP2K3/RRM2B/SCN1B/PTPN11/STAC3/SGCD/SLC27A1/C12orf57/MYOM2/FGA/SCARB2/SSPN/RYR1/SLC2A4/SETD3/MAGT1/MYLK2/TMOD1/MYH4/RBFOX1/CACNA1S/CD34/PAK2/GATM/SERPINA3/MYLK3/PICALM/ADIPOQ/SLC16A1/UBR3/TRDN/ANK2/TTN/MYL1/DSP/MYL4/ATP2A1/SNCA/APOA1/CMA1/PLN/IGKV3-20/IGHA1/PPP3CA/ATP2B2/PPP1R9B/TFRC/KNG1/AGT/KCNJ11/JUP/CPA3/FABP5/SOD3/CTSG/MYH3/MYH1/ROCK1/JCHAIN/RCSD1/CTSC/ACTC1/MYL11/TNNT3/MYH2/AZGP1/TNNC2/LCN1/TNNI2/PIP","mhc1","female"
"24","GO:0051289","GO:0051289","protein homotetramerization",18,0.680000992981364,1.88227963397292,0.00159695440317396,0.0325333036553578,0.0300756488170175,469,"tags=56%, list=16%, signal=47%","ALDH1A2/CRYZ/HSD17B10/CBR4/GLS/SSBP1/ME1/SOD2/ACOT13/VASP","mhc1","male"
"25","GO:0030198","GO:0030198","extracellular matrix organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1","mhc1","female"
"26","GO:0043062","GO:0043062","extracellular structure organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1","mhc1","female"
"27","GO:0045229","GO:0045229","external encapsulating structure organization",48,-0.504321927469735,-1.76970122135402,0.00275364579681426,0.0492284432246795,0.0455095918299128,520,"tags=40%, list=18%, signal=33%","TGFBI/COLGALT1/CST3/TNXB/VTN/VWA1/EGFLAM/NID1/FLOT1/LAMC1/LAMB1/LAMA2/PLG/CMA1/AGT/PXDN/CTSG/ENG/COL3A1","mhc1","female"
"28","GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",162,0.519528112920316,2.17756879710837,1.11394900944152e-10,2.92077430275565e-07,2.57732623447627e-07,811,"tags=56%, list=28%, signal=42%","CAVIN3/AFG1L/NDUFC1/SDHC/UQCR10/COX7C/NDUFA4/COX6A2/NDUFB1/NDUFA7/ATP5MG/UQCRQ/GPD1/PHKB/PNPT1/ATP5PO/ACO2/UQCRC2/CYC1/DLD/ACTN3/MDH2/NDUFA5/PHKG1/ATP5F1B/NDUFA6/NDUFS4/ETFDH/FH/NDUFV1/ATP5ME/COX7A1/MRPS36/PDHA1/PDHB/GBE1/SDHB/COX5B/SDHA/SOD2/SUCLG1/DLST/COX5A/DLAT/ATP5PF/ACO1/ATP5F1D/CHCHD10/ETFB/SUCLA2/UQCRFS1/NDUFB7/SHMT2/NDUFA12/NDUFB10/MTOR/ETFA/PHKA1/NDUFA8/IDH2/NDUFS6/PPP1R3D/COA6/UQCRH/NDUFV3/COX6B1/NDUFS7/COX7A2L/SUCLG2/NDUFB11/NDUFB8/UQCRB/ACADM/NDUFA10/UQCC3/TIGAR/ATP5F1A/NDUFA2/NDUFS1/NDUFV2/UQCRC1/NDUFA11/NDUFS3/COQ10A/PARK7/TRAP1/ADSL/VCP/CS/RHOA","mhc2","male"
"29","GO:0006412","GO:0006412","translation",310,0.424878024154156,1.9162366109036,1.05832745937389e-09,8.83869467606223e-07,7.79937006623501e-07,970,"tags=47%, list=34%, signal=35%","YBX1/GIGYF2/MRPL38/TNKS1BP1/MRPL4/MTFMT/PELO/RPS17/CAPRIN1/RPL3/MRPL43/GAPDH/RBM3/NDUFA7/CELF1/RPS29/ROCK1/RPL38/RPS7/MRPL19/MRPS31/RPS28/KHDRBS1/RPS13/GADD45GIP1/RPS15A/MRPL53/PNPT1/MRPL3/EEF1A2/RPS26/SARNP/LRRC47/EIF2S2/MRPS25/MRPS14/RPS14/RPL22/EEF1A1/MTPN/TRMT10C/PABPC4/RPS19/MRPS7/EEF1G/RPS11/TACO1/MRPL12/YARS1/LSM14A/RPS10/RPL18A/RPS20/TSFM/PDF/ACO1/RPL24/RPS27/MRPS17/SARS1/YBX3/AIMP2/TUFM/MRPS30/AARSD1/SYNCRIP/RPL12/SHMT2/PTCD3/MTOR/EIF3G/RPS25/MRPL37/EIF4A1/FECH/MRPL40/HNRNPR/EEF1D/MRPL30/EIF3F/MRPS23/SSB/MRPL46/MRPL48/CIRBP/EIF3A/MRPS28/RPL23/RPLP2/LTN1/LSM14B/EIF3L/RPS3A/SERBP1/EIF3J/PKM/MRPS5/ETF1/RWDD1/NARS1/CARS1/CALR/EIF5A/MTIF2/LARP4/GATC/MTRF1L/RPL10/MCTS1/EEF1B2/EEF2/PDE12/LARS2/RBM8A/MRPL13/TRAP1/EIF3M/YARS2/WARS1/EIF4G1/EIF4G2/TPR/RCC1L/EIF2B5/RPL3L/RPL8/NCL/EIF4A2/RPS9/NARS2/EEF2K/LRPPRC/C1QBP/MRPL50/ABCE1/IARS1/MAGOH/CSNK2A1/RPL27A/MSI2/MRPL47/RPSA/RPS23/FARSA/DHPS","mhc2","male"
"30","GO:0043043","GO:0043043","peptide biosynthetic process",317,0.423435530979994,1.91334477048166,1.60027757647938e-09,8.83869467606223e-07,7.79937006623501e-07,970,"tags=46%, list=34%, signal=34%","YBX1/GGT5/GIGYF2/MRPL38/TNKS1BP1/MRPL4/MTFMT/PELO/RPS17/CAPRIN1/RPL3/MRPL43/GAPDH/RBM3/NDUFA7/CELF1/RPS29/ROCK1/RPL38/RPS7/MRPL19/MRPS31/RPS28/KHDRBS1/RPS13/GADD45GIP1/RPS15A/MRPL53/PNPT1/MRPL3/EEF1A2/RPS26/SARNP/LRRC47/EIF2S2/MRPS25/MRPS14/RPS14/RPL22/EEF1A1/MTPN/TRMT10C/PABPC4/RPS19/MRPS7/EEF1G/RPS11/TACO1/MRPL12/YARS1/LSM14A/RPS10/RPL18A/RPS20/TSFM/PDF/ACO1/RPL24/RPS27/MRPS17/SARS1/YBX3/AIMP2/TUFM/MRPS30/AARSD1/SYNCRIP/RPL12/SHMT2/CARNS1/PTCD3/MTOR/EIF3G/RPS25/MRPL37/EIF4A1/FECH/MRPL40/HNRNPR/EEF1D/MRPL30/EIF3F/MRPS23/SSB/MRPL46/MRPL48/CIRBP/EIF3A/MRPS28/RPL23/RPLP2/LTN1/LSM14B/EIF3L/RPS3A/SERBP1/EIF3J/PKM/MRPS5/ETF1/RWDD1/NARS1/CARS1/CALR/EIF5A/MTIF2/LARP4/GATC/MTRF1L/RPL10/MCTS1/EEF1B2/EEF2/PDE12/LARS2/RBM8A/MRPL13/TRAP1/EIF3M/YARS2/WARS1/EIF4G1/EIF4G2/TPR/RCC1L/EIF2B5/RPL3L/RPL8/NCL/EIF4A2/RPS9/NARS2/EEF2K/LRPPRC/C1QBP/MRPL50/ABCE1/IARS1/MAGOH/CSNK2A1/RPL27A/MSI2/MRPL47/RPSA/RPS23/FARSA/DHPS","mhc2","male"
"31","GO:0045109","GO:0045109","intermediate filament organization",17,-0.858423570064108,-2.47896660104071,1.07213223221235e-08,3.51391339107596e-06,3.10071927158255e-06,117,"tags=65%, list=4%, signal=62%","KRT2/DSP/KRT1/KRT10/KRT14/KRT9/KRT5/KRT16/KRT6B/KRT17/KRT6A","mhc2","female"
"32","GO:0043588","GO:0043588","skin development",44,-0.682263949297052,-2.45361310803258,1.45224565247701e-08,4.23087566754968e-06,3.73337537326837e-06,154,"tags=43%, list=5%, signal=41%","IL18/JUP/TSG101/CTNNB1/KRT2/COL1A1/DSP/CSTA/KRT1/KRT10/KRT14/KRT9/KRT5/KRT16/CASP14/KRT6B/KRT17/KRT6A/S100A7","mhc2","female"
"33","GO:0007155","GO:0007155","cell adhesion",248,-0.371852306398901,-1.82564062382663,1.77576085147037e-07,3.25799122123597e-05,2.87489048306904e-05,570,"tags=35%, list=20%, signal=31%","CD63/BCAM/SPARCL1/POSTN/TGFBI/RRAS/COL6A3/CD44/APOA4/FGB/UTRN/DST/CD81/PALLD/CD93/TPM1/ITGA8/PPIA/HSPH1/DUSP22/SCN1B/SMARCC2/FERMT2/STAT5B/FGA/ADA/PECAM1/GPC4/THBS4/ANXA1/LAMB2/S100A10/HRG/PLG/FAF1/NID1/LAMC1/MYBPC1/PML/SPTA1/DPT/CD36/CD34/VTN/CRK/PXN/ADIPOQ/PNN/EGFLAM/KNG1/PPP2CA/FLOT1/LAMA2/PDLIM1/COL6A6/TLN2/LAMA4/MCAM/CSK/IL18/S100A11/JUP/APOA1/LAMB1/CTNNB1/APOD/AMBP/COL1A1/TJP1/DSC1/DSP/MIA3/CSTA/ATP2A2/ARG1/TNXB/CTSG/S100A9/TFRC/LRG1/DSG1/S100A8/ASS1/SLK/AZGP1/CYTH1/ACHE/SAA1","mhc2","female"
"34","GO:0006952","GO:0006952","defense response",286,-0.357172261268106,-1.77721459366486,1.81384088946025e-07,3.25799122123597e-05,2.87489048306904e-05,409,"tags=24%, list=14%, signal=23%","STAT5B/SERPING1/FGA/LAMP1/OPTN/ADA/CDC37/C3/MKRN2/AHSG/ANXA1/HRG/CHID1/APOE/IGHG3/RFTN1/JCHAIN/APCS/PML/IGHG2/SERPINA3/CD36/CRK/ADIPOQ/IGKV3-20/MPO/PLGRKT/KNG1/PPP2CA/CFH/ILF3/CMA1/FLOT1/TMED1/ITIH4/NT5C2/CFB/FABP4/IL18/RPL13A/HPX/AGT/APOA1/TF/APOD/SNCA/A2M/SERPINA1/CTSC/KRT1/ARG1/HLA-C/CFHR1/CTSG/KRT16/S100A9/TFRC/UFL1/S100A8/AP1G1/LYZ/ASS1/KRT6A/DEFA1B/S100A7/LTF/IGHM/DCD/SAA1","mhc2","female"
"35","GO:0009605","GO:0009605","response to external stimulus",430,-0.315005969202619,-1.65808576395408,5.06227136608496e-07,6.63663776093739e-05,5.85624866455513e-05,409,"tags=22%, list=14%, signal=22%","STAT5B/SERPING1/FGA/LAMP1/SESN1/PSMA2/OPTN/ADA/CDC37/C3/MKRN2/SERPINC1/AHSG/APOH/THBS4/ANXA1/CAT/HRG/DCTPP1/PLG/IMPACT/CHID1/APOE/IGHG3/RFTN1/JCHAIN/MEAK7/APCS/PML/IGHG2/CD36/NMT1/PLIN2/VTN/CRK/ADIPOQ/IGKV3-20/SLC2A1/GBF1/MPO/MCU/GCN1/PLGRKT/KNG1/PPP2CA/CFH/ILF3/CMA1/FLOT1/TMED1/NT5C2/TTN/CFB/FABP4/IL18/MAOB/RPL13A/HPX/AGT/JUP/APOA1/CTNNB1/TF/GABARAP/COL1A1/SNCA/LAMP2/A2M/SRP54/SERPIND1/CTSC/KRT1/ARG1/HLA-C/KRT5/PDK4/CFHR1/CTSG/KRT16/S100A9/TFRC/LRG1/UFL1/S100A8/AP1G1/LYZ/ASS1/KRT6A/DEFA1B/S100A7/LTF/IGHM/DCD/SAA1","mhc2","female"
"36","GO:0006959","GO:0006959","humoral immune response",48,-0.618783860354346,-2.28214161661793,5.57367822967455e-07,6.95913538962222e-05,6.14082443550108e-05,405,"tags=48%, list=14%, signal=42%","SERPING1/FGA/C3/HRG/IGHG3/JCHAIN/IGHG2/IGKV3-20/CFH/CFB/HPX/TF/A2M/KRT1/CFHR1/CTSG/S100A9/LYZ/KRT6A/DEFA1B/S100A7/LTF/IGHM","mhc2","female"
"37","GO:0001895","GO:0001895","retina homeostasis",23,-0.731650486822914,-2.32113000699101,5.02293741351181e-06,0.00042806790607473,0.0003777322484051,308,"tags=61%, list=11%, signal=55%","IGHG3/JCHAIN/IGKC/POTEI/SLC2A1/POTEJ/POTEF/TF/KRT1/LCN1/LYZ/AZGP1/LTF/PIP","mhc2","female"
"38","GO:0141060","GO:0141060","disruption of anatomical structure in another organism",21,-0.745308165737303,-2.27931410692772,6.3421565222888e-06,0.00050391316368003,0.0004446590123123,75,"tags=38%, list=3%, signal=37%","ARG1/CFHR1/CTSG/LYZ/KRT6A/DEFA1B/LTF/DCD","mhc2","female"
